为了,"['for', 'for the sake of']","['prep.', 'misc.']"
然,"['but', 'right', 'correct', 'so']","['conj.', 'adj.', 'vt.', 'adv.']"
社交能力,"['sociability', 'diffuse skills']","['n.', 'misc.']"
接受批评,['carry the can'],['carry the can\n ;\n']
定做,"['custom-made', 'customize']","['v.', 'vt.']"
咨询服务,"['consultancy', 'consultation service']","['n.', 'misc.']"
博洛尼亚,['Bologna'],['n.']
锡耶纳,['Siena（意大利中部城市）'],['Siena（意大利中部城市）\n']
征途,['journey'],['n.']
德尚,['Deschamps'],['n.']
县级,['the county level'],['the county level\n']
贯彻实施,['carry out and implement'],['carry out and implement\n']
行政许可,['administrative licensing'],['administrative licensing\n']
独具,['unique'],['unique\n']
独树一帜,"[""develop a school of one's own""]","[""develop a school of one's own\n""]"
花色品种,['assortment'],['n.']
赶快,"['quickly', 'hurry up']","['adv.', 'misc.']"
不然的话,['otherwise'],['adv.']
难保,['cannot say for sure'],['cannot say for sure\n ;\n']
规复,"['rehabilitate', 'restore to norm']","['vt.', 'misc.']"
阑珊,"['waning', 'coming to an end']","['n.', 'misc.']"
公顷,"['hectare', 'ha.']","['n.', 'abbr.']"
稠化剂,"['densifier', 'thickening agent']","['n.', 'misc.']"
交联剂,['cross-linking agent'],['cross-linking agent\n']
加到,['adde'],['n.']
缓速,['retardance'],['n.']
传递函数,['transfer function'],['transfer function\n']
汽门,['valve'],['n.']
无与伦比,['Off the Cliff'],['Off the Cliff\n']
超强,['superstrong'],['superstrong\n ;\n']
虚增,['watered'],['watered\n ;\n']
市盈率,['PE ratio(price earning ratio)'],['PE ratio(price earning ratio)\n']
顺丰,['S.F. Express'],['S.F. Express\n']
价目表,['price list'],['price list\n']
顺丰速运,['SF Express（中国快递公司）'],['SF Express（中国快递公司）\n']
客服,"['service', 'customer service']","['n.', 'misc.']"
交接班,['shifting of duty'],['shifting of duty\n']
基洛,['Killough'],['n.']
技术人员,['artisan'],['n.']
白钨矿,['scheelite'],['n.']
钻进,"['drilling', ""worm one's way in""]","['n.', 'misc.']"
克里米亚,['Crimea'],['n.']
美元汇率,['dollar currency rate'],['dollar currency rate\n']
极端分子,['extremist'],['n.']
不太像,['less like'],['less like\n ;\n']
金光闪闪,['glittering'],['adj.']
赖利,['Reily'],['n.']
军功,['military exploit'],['military exploit\n']
处决,"['put to death', 'execute']","['v.', 'vt.']"
看做,"['regard as', 'look upon as']","['vt.', 'misc.']"
上手,['left-hand seat'],['left-hand seat\n ;\n']
心里话,"[""one's innermost thoughts and feelings""]","[""one's innermost thoughts and feelings\n""]"
杨广,['Yang Guang（人名）'],['Yang Guang（人名）\n']
总和,"['summation', 'total', 'sum total']","['n.', 'adj.', 'misc.']"
周内,['weekday'],['weekday\n']
痂,['scab'],['n.']
周易,['the Book of Changes'],['the Book of Changes\n']
鼻黏膜,['nasal mucosa'],['nasal mucosa\n']
判据,['criterion'],['n.']
宝特瓶,['PET bottle'],['PET bottle\n']
皮下脂肪,['subcutaneous fat'],['subcutaneous fat\n']
畅销小说,['best seller'],['best seller\n']
猎取,['hunt'],['vt.']
野兽,['wild animal'],['n.']
演变成,['turn into'],['turn into\n ;\n']
斗牛场,['bullring'],['n.']
许多年,['many years'],['many years\n']
军事法庭,['military court'],['military court\n']
谢尔,"['Kjeld', 'Chell']","['n.', 'misc.']"
管片,['duct piece'],['duct piece\n']
吸气,"['suction', 'inhale', 'inspired air']","['n.', 'vi.', 'misc.']"
喷雾器,['sprayer'],['n.']
液态,['liquid state'],['liquid state\n']
喷出,"['spray', 'erupt', 'eject']","['n.', 'vi.', 'vt.']"
鉴证,['authentication'],['n.']
联邦调查局,"['Federal Bureau of Investigation', 'FBI']","['n.', 'abbr.']"
沙袋,['sandbag'],['vt.']
桨叶,"['paddle', 'awe']","['n.', 'vt.']"
单发,['single shot'],['single shot\n']
太阳报,['Sun'],['n.']
刊载,['publish'],['vt.']
揭秘,"['demystify', 'uncover secrets']","['vt.', 'misc.']"
周密,['careful'],['adj.']
空前,['unprecedented'],['adj.']
保持联系,['keep in touch'],['keep in touch\n ;\n']
屈指可数,"['few', ""can be counted on one's fingers""]","['adj.', 'misc.']"
战例,['a specific example of a battle (in military science)'],['a specific example of a battle (in military science)\n']
演说者,['speaker'],['n.']
出水,"['effluent', 'izumi']","['n.', 'misc.']"
大大提高,['enhance greatly'],['enhance greatly\n ;\n']
服务供应商,['Service providers'],['Service providers\n']
用户数,['user number'],['user number\n ;\n']
疏解,['defibering'],['vi.']
沃克,['Walker'],['n.']
课间,"['playtime', 'break']","['n.', 'v.']"
折起来,['fold up'],['fold up\n ;\n']
网片,['meshes'],['n.']
带蒂,['pedicle skin flap'],['pedicle skin flap\n']
旅费,['travelling expenses'],['travelling expenses\n']
出口量,['export volume'],['export volume\n']
纸袋,['paper bag'],['paper bag\n ;\n']
纸厂,"['paper mill', 'paper plant']","['n.', 'misc.']"
莫高窟,['Mogao Caves'],['Mogao Caves\n']
车架号,['VIN（vehicle identification number）'],['VIN（vehicle identification number）\n']
桃核,['peach pit'],['peach pit\n']
内皮素,['ET(endothelin)'],['ET(endothelin)\n']
捧杯,['win an award'],['win an award\n ;\n']
阴极极化,['cathodic polarization'],['cathodic polarization\n ;\n']
长销,['long pin'],['long pin\n']
礼花弹,['display shell'],['display shell\n']
国际劳工组织,['International Labour Organization'],['International Labour Organization\n']
丝光,['mercerization'],['n.']
业务范围,['line of business'],['line of business\n ;\n']
房地产法,['Real Estate Law'],['Real Estate Law\n']
贸易法,['trade act'],['trade act\n ;\n']
空疏,['empty and shallow'],['empty and shallow\n']
刘,"['kill', 'a weapon']","['vt.', 'misc.']"
大使,['ambassador'],['n.']
少来,['come on'],['come on\n ;\n']
三餐,['three meals'],['three meals\n']
粥,['porridge'],['n.']
度日,['subsist (in hardship)'],['subsist (in hardship)\n ;\n']
有家,['Arike'],['n.']
请愿书,['memorial'],['n.']
失魂落魄,['driven to distraction'],['driven to distraction\n ;\n']
走神,"['distracted', 'keep drifting away']","['adj.', 'misc.']"
升势,['uptrend'],['n.']
位面,"['planes', 'bitplane']","['n.', 'misc.']"
镜面反射,['specular reflection'],['specular reflection\n ;\n']
帽冠,['cap crown'],['cap crown\n ;\n']
代步,['ride instead of walk'],['ride instead of walk\n']
托架,['bracket'],['n.']
涂漆,"['japanning', 'paint']","['n.', 'vt.']"
五月份,['May'],['n.']
裁,"['judge', 'reduce', 'cut into parts']","['n.', 'vt.', 'misc.']"
错译,['mistranslation'],['n.']
高起点,['high starting point'],['high starting point\n']
社会党,['socialist party'],['socialist party\n']
科研工作,['Scientific Research'],['Scientific Research\n ;\n']
横幅,['streamer'],['n.']
宗教自由,['freedom of religion'],['freedom of religion\n']
身势语,['body language'],['body language\n']
重氮,"['diazonium', 'heavy nitrogen']","['n.', 'misc.']"
试剂,['reagent'],['n.']
筘,['reed'],['n.']
组合体,['composite solid'],['composite solid\n ;\n']
肯纳,['Kenner'],['n.']
第二名,['proxime accessit'],['proxime accessit\n ;\n']
自发辐射,['spontaneous radiation'],['spontaneous radiation\n']
衰减,['attenuation'],['n.']
维他命,"['vitamin', 'vitamine']","['n.', 'misc.']"
射箭,['archery'],['archery\n']
查维斯,['Chavez'],['n.']
卡勒,['kahler'],['kahler\n']
二年级,['second grade'],['second grade\n']
牙线,['dental floss'],['n.']
素雅,['simple but elegant'],['simple but elegant\n ;\n']
世界遗产,['world heritage'],['world heritage\n']
重性,['principal characteristic'],['principal characteristic\n']
断肢,['amputated limb'],['amputated limb\n']
再植,['replantation'],['n.']
专有名称,['proper name'],['proper name\n']
半殖民地,['semicolony'],['n.']
烤焦,['burned in roasting or baking'],['burned in roasting or baking\n']
瓦砾,"['rubble', 'brash']","['n.', 'adj.']"
执掌,"['wield', 'be in control of']","['vt.', 'misc.']"
哈撒韦,['Hathaway'],['n.']
掏出,['fish out'],['fish out\n']
纸巾,['tissue'],['n.']
催泪,['lacrimation'],['n.']
芬奇,['Finch'],['n.']
手稿,['manuscripts'],['manuscripts\n']
人形,"['figure', 'human shape']","['n.', 'misc.']"
赫拉,['Hera'],['n.']
电话本,"['contacts', 'phone book']","['n.', 'misc.']"
萨维奇,['Savage'],['n.']
春上,['in spring'],['in spring\n']
归天,"['die', 'pass away']","['vi.', 'misc.']"
阿拉伯语,['Arabic'],['n.']
说笑话,['break a jest'],['break a jest\n']
艺术展,['art exhibition'],['art exhibition\n']
相角,['phase angle'],['phase angle\n ;\n']
揭发,['disclose'],['vt.']
艺术表演,['artistic performance'],['artistic performance\n']
第三类,['third kind'],['third kind\n']
小媳妇,['young married woman'],['young married woman\n']
唯唯诺诺,['obsequious'],['adj.']
受气包,['punchbag'],['punchbag\n ;\n']
空气污染,['air pollution'],['air pollution\n ;\n']
石膏板,"['plasterboard', 'gypsum board']","['n.', 'misc.']"
板缝,['slab joint'],['slab joint\n']
小巷,"['alley', 'by-lane']","['n.', 'misc.']"
兜售,"['peddle', 'tout for']","['vt.', 'misc.']"
尝,"['experience', 'taste', 'ever', 'come to know']","['n.', 'vt.', 'adv.', 'misc.']"
信息产业,['information industry'],['information industry\n']
射靶,['shoot at the target'],['shoot at the target\n']
材,['material'],['n.']
靶材,['target materials'],['target materials\n']
叶芝,['william butler yeats'],['william butler yeats\n']
驶向,['bear in with'],['bear in with\n']
潜隐,['HIDE'],['vt.']
意蕴,['implication'],['n.']
话剧,"['drama', 'modern drama']","['n.', 'misc.']"
假使,"['if', 'in the event that']","['conj.', 'misc.']"
欲求,"['desire', 'want']","['n.', 'vt.']"
佐证,['evidence'],['n.']
脚注,"['footnote', 'foot notation']","['n.', 'misc.']"
出处,['provenance'],['n.']
青蜂,['cuckoo wasp'],['cuckoo wasp\n']
侠,"['chivalrous', 'chivalrous swordsman']","['adj.', 'misc.']"
反派,"['villain (in drama, etc.)']","['villain (in drama, etc.)\n ;\n']"
以史为鉴,['past is future'],['past is future\n ;\n']
科学化,"['scientization', 'scientize']","['n.', 'vt.']"
理论化,"['theorization', 'theorize']","['n.', 'vi.']"
发慌,['get flustered'],['get flustered\n ;\n']
球根,['corm'],['n.']
远缘,['distant related'],['distant related\n']
滑出,['roll out'],['roll out\n ;\n']
矮个子,['shorty'],['n.']
苏尔特,['SURT'],['n.']
城西,['the west of a city'],['the west of a city\n']
当班,['be on duty by turns'],['be on duty by turns\n']
检查站,['checkpoint'],['n.']
呵护,['CARE'],['abbr.']
高二,['Senior Two'],['Senior Two\n']
文学社,['literature society'],['literature society\n ;\n']
库斯,['Kurz'],['n.']
毛茛,"['buttercup', 'Ranunculus acris L.']","['n.', 'misc.']"
猪殃殃,"['cleavers', 'Galium aparine L.']","['n.', 'misc.']"
田旋花,['field bindweed'],['field bindweed\n']
羊角,['cleat'],['n.']
芹,['celery'],['n.']
长杆,['pole'],['n.']
耧,"['drill', 'an animal-drawn seed plough']","['n.', 'misc.']"
家猫,['babby'],['babby\n']
野草,['weeds'],['n.']
保价,['support value'],['support value\n ;\n']
囊胚,['blastaea'],['blastaea\n ;\n']
犯错误,"['err', 'make a mistake']","['vi.', 'misc.']"
电机学,['electromechanics'],['n.']
举升,"['hoist', 'rise', 'lift']","['n.', 'vi.', 'vt.']"
拳脚,['Chinese boxing'],['Chinese boxing\n']
无数次,['heaps of times'],['heaps of times\n']
反戈一击,"[""turn one's weapon around and strike""]","[""turn one's weapon around and strike\n""]"
原由,['reason'],['n.']
令人感动,['touching'],['touching\n ;\n']
马绍尔,['Marshall'],['n.']
肯德基,['KFC (Kentucky Fried Chicken)'],['KFC (Kentucky Fried Chicken)\n']
汉堡,['hamburger'],['n.']
必胜客,['Pizza Hut'],['Pizza Hut\n']
汽车站,['motor station'],['motor station\n']
斜对面,['diagonally across'],['diagonally across\n']
实际成本,['actual cost'],['actual cost\n ;\n']
拍子,['racket'],['n.']
好几年,['several years'],['several years\n']
烟霾,['smaze'],['n.']
录用,"['hire', 'employ']","['n.', 'vt.']"
吡啶,['pyridine'],['n.']
巯基,"['sulfydryl', 'hydrosulphonyl']","['n.', 'misc.']"
锌盐,['zinc salt'],['zinc salt\n']
温度传感器,['temperature sensor'],['temperature sensor\n']
改土,['improve the soil'],['improve the soil\n']
迎头赶上,['proceed with determination'],['proceed with determination\n ;\n']
肺气肿,"['emphysema', 'pulmonary emphysema']","['n.', 'misc.']"
金黄地鼠,['golden hamster'],['golden hamster\n']
心功能,['cardiac function'],['cardiac function\n']
沃尔科特,"['Wolcott', 'Walcott']","['n.', 'misc.']"
一线,['a gleam of'],['a gleam of\n ;\n']
派拉蒙,['Paramount （有光粘胶经纱）'],['Paramount （有光粘胶经纱）\n']
发行权,['publishing right'],['publishing right\n']
箱包,['bags and suitcases'],['bags and suitcases\n']
杜,"['shut out', 'prevent', 'birch-leaf pear']","['v.', 'vt.', 'misc.']"
觐见,['present oneself before (a monarch)'],['present oneself before (a monarch)\n ;\n']
诏,"['instruct', 'imperial decree or edict']","['vt.', 'misc.']"
饮用,['drink'],['vt.']
含酒精,['spirituosity'],['spirituosity\n']
会议记录,"['Proc', 'minutes of the meeting']","['abbr.', 'misc.']"
调味剂,"['condiment', 'flavouring agent']","['n.', 'misc.']"
冰棍,['forzen sucker'],['forzen sucker\n']
山岳,"['kop', 'lofty mountains']","['n.', 'misc.']"
碳酸,['carbonic acid'],['carbonic acid\n']
炸鸡块,['chicken nugget'],['chicken nugget\n']
插槽,['slot'],['n.']
禅师,['Chan master'],['Chan master\n ;\n']
凶险,"['critical', 'in a very dangerous state']","['adj.', 'misc.']"
驱动程序,"['Drivers', 'drive program']","['n.', 'misc.']"
纯酒精,['straight alcohol'],['straight alcohol\n ;\n']
袖子,['sleeve'],['n.']
雨巷,['The Rain Lane'],['The Rain Lane\n ;\n']
旖旎,"['graceful', 'charming and gentle']","['adj.', 'misc.']"
幽篁,['deep and quiet bamboo grove'],['deep and quiet bamboo grove\n']
皈依,['the ceremony of proclaiming sb. a Buddhist'],['the ceremony of proclaiming sb. a Buddhist\n ;\n']
健儿,['valiant fighter'],['valiant fighter\n']
一举,['with one action'],['with one action\n ;\n']
造假,"['forge', 'counterfeit']","['n.', 'vt.']"
东道主,['host'],['n.']
短篇小说,['short story'],['short story\n']
应募,"['enlist', 'respond to a call for recruits']","['vi.', 'misc.']"
地球物理,"['geophysics', 'physical geography']","['n.', 'misc.']"
外语水平,['foreign language level'],['foreign language level\n']
标准答案,['standard answer'],['standard answer\n ;\n']
旧石器时代,['the Old Stone Age'],['the Old Stone Age\n ;\n']
温血动物,"['endotherm', 'warm-blooded animal']","['n.', 'misc.']"
洗澡盆,['bathtub'],['n.']
几把,['a few handfuls of'],['a few handfuls of\n ;\n']
大号,['large size'],['large size\n']
热气球,['hot air balloon'],['hot air balloon\n']
蛋清,"['albumen', 'egg white']","['n.', 'misc.']"
政策法规,"['laws and regulations', 'policies and regulations']","['n.', 'misc.']"
上诉,['appeal'],['vi.']
恳请,"['adjuration', 'obtest']","['n.', 'vt.']"
乍得,['Chad'],['n.']
红装,['gay feminine attire'],['gay feminine attire\n']
犯人,['prisoner'],['n.']
女子监狱,"[""women's prison""]","[""women's prison\n ;\n""]"
女犯人,['offendress'],['offendress\n']
时装表演,['fashion show'],['fashion show\n ;\n']
碱洗,['alkali wash'],['alkali wash\n ;\n']
左旋,"['levorotation', 'sinistrogyration']","['n.', 'misc.']"
巴氯芬,['baclofen'],['n.']
场电位,['field potential'],['field potential\n']
强于,"['surpass', 'be stronger than']","['vt.', 'misc.']"
公积,['surplus'],['n.']
基调,['keynote'],['n.']
称做,['be called'],['be called\n ;\n']
性能比,['performance ratio'],['performance ratio\n']
建设项目,['construction project'],['construction project\n ;\n']
刨除,['reduce'],['vt.']
商品经济,['commodity economy'],['commodity economy\n']
管子,['pipe'],['n.']
并重,['pay equal attention to'],['pay equal attention to\n ;\n']
铸造厂,['jobbing foundry'],['jobbing foundry\n ;\n']
